iter	Passed	Remaining
0	58	58595
1	59	29447
2	59	19715
3	59	14846
4	59	11927
5	60	9978
6	60	8587
7	60	7543
8	61	6734
9	61	6085
10	61	5554
11	62	5111
12	62	4739
13	62	4417
14	63	4141
15	63	3897
16	63	3680
17	63	3488
18	64	3315
19	64	3160
20	64	3020
21	65	2893
22	65	2777
23	65	2671
24	65	2573
25	66	2486
26	66	2403
27	67	2326
28	67	2253
29	67	2186
30	67	2123
31	68	2063
32	68	2009
33	68	1959
34	69	1910
35	69	1863
36	69	1818
37	70	1777
38	70	1739
39	70	1701
40	71	1665
41	71	1631
42	71	1599
43	72	1567
44	72	1537
45	72	1509
46	73	1481
47	73	1455
48	73	1429
49	73	1404
50	74	1381
51	74	1359
52	74	1337
53	75	1316
54	75	1296
55	75	1276
56	76	1258
57	76	1240
58	76	1222
59	76	1205
60	77	1189
61	77	1173
62	77	1157
63	78	1143
64	78	1129
65	78	1115
66	79	1101
67	79	1088
68	79	1075
69	80	1063
70	80	1050
71	80	1038
72	80	1026
73	81	1015
74	81	1004
75	81	993
76	81	982
77	82	972
78	82	962
79	82	953
80	83	944
81	83	935
82	83	923
83	83	915
84	84	906
85	84	898
86	84	890
87	85	883
88	85	875
89	85	867
90	86	860
91	86	853
92	86	846
93	87	838
94	87	832
95	87	825
96	87	818
97	88	812
98	88	805
99	88	799
100	89	793
101	89	787
102	89	782
103	90	776
104	90	770
105	90	765
106	91	759
107	91	754
108	91	748
109	91	743
110	92	738
111	92	733
112	92	728
113	93	723
114	93	718
115	93	714
116	93	709
117	94	704
118	94	700
119	94	696
120	95	691
121	95	686
122	95	682
123	96	678
124	96	674
125	96	670
126	96	665
127	97	661
128	97	657
129	97	654
130	98	650
131	98	646
132	98	643
133	98	639
134	99	636
135	99	632
136	99	629
137	100	626
138	100	623
139	100	620
140	101	616
141	101	612
142	101	609
143	102	606
144	102	603
145	102	600
146	102	597
147	103	594
148	103	591
149	103	588
150	104	585
151	104	582
152	104	579
153	104	576
154	105	573
155	105	571
156	105	568
157	106	565
158	106	562
159	106	560
160	106	556
161	107	554
162	107	551
163	107	549
164	107	546
165	108	544
166	108	541
167	108	539
168	109	536
169	109	535
170	109	532
171	110	530
172	110	528
173	110	526
174	111	524
175	111	521
176	111	519
177	111	517
178	112	515
179	112	512
180	112	510
181	113	508
182	113	506
183	113	504
184	114	502
185	114	500
186	114	498
187	115	496
188	115	495
189	115	493
190	115	491
191	116	489
192	116	487
193	116	485
194	117	484
195	117	482
196	117	480
197	118	478
198	118	477
199	118	475
200	119	473
201	119	471
202	119	470
203	120	468
204	120	466
205	120	465
206	120	463
207	121	461
208	121	460
209	121	458
210	122	456
211	122	455
212	122	454
213	123	452
214	123	450
215	123	449
216	124	447
217	124	446
218	124	444
219	125	443
220	125	441
221	125	440
222	125	439
223	126	437
224	126	435
225	126	434
226	127	432
227	127	431
228	127	429
229	127	428
230	128	427
231	128	425
232	128	424
233	129	422
234	129	421
235	129	420
236	130	418
237	130	417
238	130	416
239	131	414
240	131	413
241	131	412
242	131	411
243	132	410
244	132	409
245	133	407
246	133	406
247	133	405
248	134	404
249	134	403
250	134	401
251	134	400
252	135	399
253	135	398
254	135	396
255	136	395
256	136	394
257	136	393
258	137	392
259	137	390
260	137	389
261	137	388
262	138	387
263	138	386
264	138	384
265	139	383
266	139	382
267	139	381
268	139	380
269	140	379
270	140	378
271	140	377
272	141	376
273	141	375
274	141	374
275	142	372
276	142	371
277	142	370
278	143	369
279	143	368
280	143	367
281	143	366
282	144	365
283	144	364
284	144	363
285	145	362
286	145	361
287	145	360
288	146	359
289	146	358
290	146	357
291	147	356
292	147	355
293	147	354
294	148	353
295	148	352
296	148	352
297	149	351
298	149	350
299	149	349
300	150	348
301	150	347
302	150	346
303	150	345
304	151	344
305	151	343
306	151	342
307	152	341
308	152	340
309	152	339
310	152	338
311	153	337
312	153	336
313	153	335
314	154	335
315	154	334
316	154	333
317	154	332
318	155	331
319	155	330
320	155	329
321	156	328
322	156	327
323	156	327
324	157	326
325	157	325
326	157	324
327	158	323
328	158	322
329	158	322
330	158	321
331	159	320
332	159	319
333	159	318
334	160	317
335	160	316
336	160	316
337	160	315
338	161	314
339	161	313
340	161	312
341	162	312
342	162	311
343	162	310
344	163	309
345	163	309
346	163	308
347	164	307
348	164	306
349	164	306
350	165	305
351	165	304
352	165	303
353	166	302
354	166	302
355	166	301
356	166	300
357	167	299
358	167	299
359	168	299
360	168	298
361	168	297
362	169	296
363	169	296
364	169	295
365	170	294
366	170	293
367	170	293
368	170	292
369	171	291
370	171	290
371	171	290
372	172	289
373	172	288
374	172	288
375	173	287
376	173	286
377	173	285
378	173	285
379	174	284
380	174	283
381	174	282
382	175	282
383	175	281
384	175	280
385	175	279
386	176	279
387	176	278
388	176	277
389	177	277
390	177	276
391	177	275
392	178	275
393	178	274
394	178	273
395	179	273
396	179	272
397	179	272
398	180	271
399	180	270
400	181	270
401	181	270
402	182	269
403	182	269
404	182	268
405	183	267
406	183	267
407	183	266
408	183	265
409	184	265
410	184	264
411	184	263
412	185	263
413	185	262
414	185	261
415	185	261
416	186	260
417	186	259
418	186	259
419	187	258
420	187	257
421	187	257
422	188	256
423	188	255
424	188	255
425	188	254
426	189	253
427	189	253
428	189	252
429	190	251
430	190	251
431	190	250
432	190	249
433	191	249
434	191	248
435	191	248
436	192	247
437	192	246
438	192	246
439	193	245
440	193	245
441	193	244
442	194	244
443	194	243
444	195	243
445	195	242
446	195	242
447	196	241
448	196	241
449	196	240
450	197	240
451	197	239
452	197	238
453	198	238
454	198	237
455	198	237
456	199	236
457	199	235
458	199	235
459	199	234
460	200	234
461	200	233
462	200	232
463	201	232
464	201	231
465	201	231
466	201	230
467	202	229
468	202	229
469	202	228
470	203	228
471	203	227
472	203	226
473	203	226
474	204	225
475	204	225
476	204	224
477	205	224
478	205	223
479	205	222
480	206	222
481	206	221
482	206	221
483	206	220
484	207	220
485	207	219
486	207	218
487	208	218
488	208	217
489	208	217
490	209	216
491	209	216
492	209	215
493	210	215
494	210	214
495	210	214
496	211	213
497	211	213
498	211	212
499	211	211
500	212	211
501	212	210
502	212	210
503	213	209
504	213	209
505	213	208
506	213	208
507	214	207
508	214	206
509	214	206
510	215	205
511	215	205
512	215	204
513	216	204
514	216	203
515	216	203
516	216	202
517	217	202
518	217	201
519	217	201
520	218	200
521	218	200
522	218	199
523	219	198
524	219	198
525	219	197
526	219	197
527	220	196
528	220	196
529	220	195
530	221	195
531	221	194
532	221	194
533	221	193
534	222	193
535	222	192
536	222	192
537	223	191
538	223	191
539	223	190
540	224	190
541	224	189
542	224	189
543	224	188
544	225	187
545	225	187
546	225	186
547	226	186
548	226	185
549	226	185
550	226	184
551	227	184
552	227	183
553	227	183
554	228	182
555	228	182
556	228	181
557	228	181
558	229	180
559	229	180
560	229	179
561	230	179
562	230	178
563	230	178
564	231	177
565	231	177
566	231	176
567	231	176
568	232	175
569	232	175
570	232	174
571	233	174
572	233	173
573	233	173
574	234	172
575	234	172
576	234	172
577	234	171
578	235	170
579	235	170
580	235	170
581	236	169
582	236	169
583	236	168
584	236	168
585	237	167
586	237	167
587	237	166
588	238	166
589	238	165
590	238	165
591	238	164
592	239	164
593	239	163
594	239	163
595	240	162
596	240	162
597	240	161
598	241	161
599	241	160
600	241	160
601	241	159
602	242	159
603	242	159
604	242	158
605	243	158
606	243	157
607	243	157
608	244	156
609	244	156
610	244	155
611	244	155
612	245	154
613	245	154
614	245	153
615	246	153
616	246	152
617	246	152
618	246	152
619	247	151
620	247	151
621	247	150
622	248	150
623	248	149
624	248	149
625	248	148
626	249	148
627	249	147
628	249	147
629	250	146
630	250	146
631	250	146
632	251	145
633	251	145
634	251	144
635	252	144
636	252	143
637	252	143
638	252	142
639	253	142
640	253	141
641	253	141
642	254	141
643	254	140
644	254	140
645	254	139
646	255	139
647	255	138
648	255	138
649	256	137
650	256	137
651	256	137
652	257	136
653	257	136
654	257	135
655	258	135
656	258	134
657	258	134
658	258	133
659	259	133
660	259	133
661	259	132
662	260	132
663	260	131
664	260	131
665	260	130
666	261	130
667	261	129
668	261	129
669	262	129
670	262	128
671	262	128
672	262	127
673	263	127
674	263	126
675	263	126
676	264	126
677	264	125
678	264	125
679	265	124
680	265	124
681	265	123
682	265	123
683	266	122
684	266	122
685	266	122
686	267	121
687	267	121
688	267	120
689	267	120
690	268	119
691	268	119
692	268	119
693	269	118
694	269	118
695	269	117
696	270	117
697	270	116
698	270	116
699	270	116
700	271	115
701	271	115
702	271	114
703	272	114
704	272	113
705	272	113
706	272	113
707	273	112
708	273	112
709	273	111
710	274	111
711	274	111
712	274	110
713	275	110
714	275	109
715	275	109
716	276	108
717	276	108
718	276	108
719	276	107
720	277	107
721	277	106
722	277	106
723	278	105
724	278	105
725	278	105
726	278	104
727	279	104
728	279	103
729	279	103
730	280	103
731	280	102
732	280	102
733	280	101
734	281	101
735	281	100
736	281	100
737	282	100
738	282	99
739	282	99
740	282	98
741	283	98
742	283	98
743	283	97
744	284	97
745	284	96
746	284	96
747	285	96
748	285	95
749	285	95
750	285	94
751	286	94
752	286	93
753	286	93
754	287	93
755	287	92
756	287	92
757	287	91
758	288	91
759	288	91
760	288	90
761	289	90
762	289	89
763	289	89
764	289	89
765	290	88
766	290	88
767	290	87
768	291	87
769	291	87
770	291	86
771	291	86
772	292	85
773	292	85
774	292	85
775	293	84
776	293	84
777	293	83
778	294	83
779	294	83
780	294	82
781	294	82
782	295	81
783	295	81
784	295	81
785	296	80
786	296	80
787	296	79
788	297	79
789	297	79
790	297	78
791	297	78
792	298	77
793	298	77
794	298	77
795	299	76
796	299	76
797	299	75
798	300	75
799	300	75
800	300	74
801	300	74
802	301	73
803	301	73
804	301	73
805	302	72
806	302	72
807	302	71
808	302	71
809	303	71
810	303	70
811	303	70
812	304	69
813	304	69
814	304	69
815	304	68
816	305	68
817	305	67
818	305	67
819	306	67
820	306	66
821	306	66
822	307	66
823	307	65
824	307	65
825	307	64
826	308	64
827	308	64
828	308	63
829	309	63
830	309	62
831	309	62
832	309	62
833	310	61
834	310	61
835	310	60
836	311	60
837	311	60
838	311	59
839	312	59
840	312	59
841	312	58
842	312	58
843	313	57
844	313	57
845	313	57
846	314	56
847	314	56
848	314	55
849	314	55
850	315	55
851	315	54
852	315	54
853	316	54
854	316	53
855	316	53
856	317	52
857	317	52
858	317	52
859	318	51
860	318	51
861	318	51
862	319	50
863	319	50
864	319	49
865	320	49
866	320	49
867	320	48
868	321	48
869	321	48
870	321	47
871	322	47
872	322	46
873	322	46
874	323	46
875	323	45
876	323	45
877	323	45
878	324	44
879	324	44
880	324	43
881	325	43
882	325	43
883	325	42
884	326	42
885	326	42
886	326	41
887	327	41
888	327	40
889	327	40
890	327	40
891	328	39
892	328	39
893	328	38
894	329	38
895	329	38
896	329	37
897	329	37
898	330	37
899	330	36
900	330	36
901	330	35
902	331	35
903	331	35
904	331	34
905	332	34
906	332	34
907	332	33
908	332	33
909	333	32
910	333	32
911	333	32
912	334	31
913	334	31
914	334	31
915	334	30
916	335	30
917	335	29
918	335	29
919	336	29
920	336	28
921	336	28
922	337	28
923	337	27
924	337	27
925	337	27
926	338	26
927	338	26
928	338	25
929	339	25
930	339	25
931	339	24
932	339	24
933	340	24
934	340	23
935	340	23
936	341	22
937	341	22
938	341	22
939	341	21
940	342	21
941	342	21
942	342	20
943	343	20
944	343	19
945	343	19
946	344	19
947	344	18
948	344	18
949	344	18
950	345	17
951	345	17
952	345	17
953	346	16
954	346	16
955	346	15
956	346	15
957	347	15
958	347	14
959	347	14
960	348	14
961	348	13
962	348	13
963	349	13
964	349	12
965	349	12
966	349	11
967	350	11
968	350	11
969	350	10
970	351	10
971	351	10
972	351	9
973	352	9
974	352	9
975	352	8
976	352	8
977	353	7
978	353	7
979	353	7
980	354	6
981	354	6
982	354	6
983	354	5
984	355	5
985	355	5
986	355	4
987	356	4
988	356	3
989	356	3
990	357	3
991	357	2
992	357	2
993	357	2
994	358	1
995	358	1
996	358	1
997	359	0
998	359	0
999	359	0
